language,bpe vocab limit,mean,std
english,200,5.078071428571429,0.0671837710067065
english,500,3.2548125,0.033554424657003167
english,1000,3.045276785714286,0.03362116337202058
english,5000,3.007051339285714,0.03312220250850077
english,10000,3.007051339285714,0.03312220250850077
english,15000,3.007051339285714,0.03312220250850077
nahuatl,200,7.468680803571429,0.21143829592381333
nahuatl,500,4.184915178571429,0.09742893830363396
nahuatl,1000,4.082517857142857,0.08611150349532984
nahuatl,5000,4.072508928571429,0.08556145321805657
nahuatl,10000,4.072508928571429,0.08556145321805657
nahuatl,15000,4.072508928571429,0.08556145321805657
raramuri,200,7.869484375,0.06875200221989727
raramuri,500,5.605622767857143,0.051332148361919655
raramuri,1000,5.508305803571429,0.05396520014709422
raramuri,5000,5.486513392857143,0.05399995134408641
raramuri,10000,5.486513392857143,0.05399995134408641
raramuri,15000,5.486513392857143,0.05399995134408641
