language,bpe vocab limit,mean,std
english,200,5.078071428571429,0.0671837710067065
english,500,5.078071428571429,0.0671837710067065
english,1000,5.078071428571429,0.0671837710067065
english,5000,5.078071428571429,0.0671837710067065
english,10000,5.078071428571429,0.0671837710067065
english,15000,5.078071428571429,0.0671837710067065
nahuatl,200,7.468680803571429,0.21143829592381333
nahuatl,500,7.468680803571429,0.21143829592381333
nahuatl,1000,7.468680803571429,0.21143829592381333
nahuatl,5000,7.468680803571429,0.21143829592381333
nahuatl,10000,7.468680803571429,0.21143829592381333
nahuatl,15000,7.468680803571429,0.21143829592381333
raramuri,200,7.869484375,0.06875200221989727
raramuri,500,7.869484375,0.06875200221989727
raramuri,1000,7.869484375,0.06875200221989727
raramuri,5000,7.869484375,0.06875200221989727
raramuri,10000,7.869484375,0.06875200221989727
raramuri,15000,7.869484375,0.06875200221989727
