language,bpe vocab limit,num tokens,num words,tokens : word
english,10000,5069,1000,5.069
english,10000,4998,1000,4.998
english,10000,5074,1000,5.074
english,10000,5352,1000,5.352
english,10000,5053,1000,5.053
english,10000,5013,1000,5.013
english,10000,5133,1000,5.133
english,10000,5035,1000,5.035
english,10000,5015,1000,5.015
english,10000,5033,1000,5.033
english,10000,4865,1000,4.865
english,10000,5177,1000,5.177
english,10000,5123,1000,5.123
english,10000,5091,1000,5.091
english,10000,5242,1000,5.242
english,10000,5145,1000,5.145
english,10000,5002,1000,5.002
english,10000,5193,1000,5.193
english,10000,4972,1000,4.972
english,10000,4977,1000,4.977
english,10000,5124,1000,5.124
english,10000,5116,1000,5.116
english,10000,5329,1000,5.329
english,10000,5261,1000,5.261
english,10000,5215,1000,5.215
english,10000,5561,1000,5.561
english,10000,5383,1000,5.383
english,10000,5719,1000,5.719
english,10000,5535,1000,5.535
english,10000,5268,1000,5.268
english,10000,5121,1000,5.121
english,10000,5026,1000,5.026
english,10000,4939,1000,4.939
english,10000,4868,1000,4.868
english,10000,5435,1000,5.435
english,10000,5379,1000,5.379
english,10000,5251,1000,5.251
english,10000,5200,1000,5.2
english,10000,5268,1000,5.268
english,10000,5098,1000,5.098
english,10000,5065,1000,5.065
english,10000,5099,1000,5.099
english,10000,4972,1000,4.972
english,10000,4996,1000,4.996
english,10000,4821,1000,4.821
english,10000,4939,1000,4.939
english,10000,4938,1000,4.938
english,10000,5045,1000,5.045
english,10000,5144,1000,5.144
english,10000,4789,1000,4.789
english,10000,4831,1000,4.831
english,10000,5105,1000,5.105
english,10000,5084,1000,5.084
english,10000,5026,1000,5.026
english,10000,4964,1000,4.964
english,10000,4937,1000,4.937
english,10000,5178,1000,5.178
english,10000,4947,1000,4.947
english,10000,4986,1000,4.986
english,10000,5001,1000,5.001
english,10000,5174,1000,5.174
english,10000,5104,1000,5.104
english,10000,5160,1000,5.16
english,10000,4916,1000,4.916
english,10000,4955,1000,4.955
english,10000,5058,1000,5.058
english,10000,4972,1000,4.972
english,10000,5058,1000,5.058
english,10000,5139,1000,5.139
english,10000,5354,1000,5.354
english,10000,5123,1000,5.123
english,10000,5070,1000,5.07
english,10000,4967,1000,4.967
english,10000,5012,1000,5.012
english,10000,5038,1000,5.038
raramuri,500,7847,1000,7.847
raramuri,500,7707,1000,7.707
raramuri,500,7943,1000,7.943
raramuri,500,7792,1000,7.792
raramuri,500,7867,1000,7.867
raramuri,500,8001,1000,8.001
raramuri,500,7821,1000,7.821
raramuri,500,7837,1000,7.837
raramuri,500,7679,1000,7.679
raramuri,500,7745,1000,7.745
raramuri,500,7726,1000,7.726
raramuri,500,7835,1000,7.835
raramuri,500,7905,1000,7.905
raramuri,500,8116,1000,8.116
raramuri,500,8122,1000,8.122
raramuri,500,8129,1000,8.129
raramuri,500,8189,1000,8.189
raramuri,500,8015,1000,8.015
raramuri,500,7785,1000,7.785
raramuri,500,8262,1000,8.262
raramuri,500,8022,1000,8.022
raramuri,500,8177,1000,8.177
raramuri,500,8113,1000,8.113
raramuri,500,7919,1000,7.919
raramuri,500,7870,1000,7.87
raramuri,500,8134,1000,8.134
raramuri,500,8071,1000,8.071
raramuri,500,7835,1000,7.835
raramuri,500,7903,1000,7.903
raramuri,500,7892,1000,7.892
raramuri,500,7898,1000,7.898
raramuri,500,8020,1000,8.02
raramuri,500,8004,1000,8.004
raramuri,500,7873,1000,7.873
raramuri,500,8154,1000,8.154
raramuri,500,8269,1000,8.269
raramuri,500,8239,1000,8.239
raramuri,500,7941,1000,7.941
raramuri,500,8098,1000,8.098
raramuri,500,8037,1000,8.037
raramuri,500,8195,1000,8.195
raramuri,500,7948,1000,7.948
raramuri,500,7874,1000,7.874
raramuri,500,7799,1000,7.799
raramuri,500,7651,1000,7.651
raramuri,500,7459,1000,7.459
raramuri,500,7206,1000,7.206
raramuri,500,7516,1000,7.516
raramuri,500,7784,1000,7.784
raramuri,500,7930,1000,7.93
raramuri,500,7960,1000,7.96
raramuri,500,7770,1000,7.77
raramuri,500,7814,1000,7.814
raramuri,500,7595,1000,7.595
raramuri,500,7653,1000,7.653
raramuri,500,7643,1000,7.643
raramuri,500,7760,1000,7.76
raramuri,500,7930,1000,7.93
raramuri,500,7727,1000,7.727
raramuri,500,7728,1000,7.728
raramuri,500,7900,1000,7.9
raramuri,500,7985,1000,7.985
raramuri,500,8010,1000,8.01
raramuri,500,7868,1000,7.868
raramuri,500,7962,1000,7.962
raramuri,500,7946,1000,7.946
raramuri,500,7921,1000,7.921
raramuri,500,8042,1000,8.042
raramuri,500,7999,1000,7.999
raramuri,500,7885,1000,7.885
raramuri,500,7851,1000,7.851
raramuri,500,7848,1000,7.848
raramuri,500,7808,1000,7.808
raramuri,500,7916,1000,7.916
raramuri,500,7966,1000,7.966
raramuri,500,7841,1000,7.841
raramuri,500,7959,1000,7.959
raramuri,500,7866,1000,7.866
raramuri,500,7591,1000,7.591
raramuri,500,7951,1000,7.951
raramuri,500,7874,1000,7.874
raramuri,500,7840,1000,7.84
raramuri,500,7641,1000,7.641
raramuri,500,7894,1000,7.894
raramuri,500,7723,1000,7.723
raramuri,500,8083,1000,8.083
raramuri,500,8039,1000,8.039
raramuri,500,8059,1000,8.059
raramuri,500,8071,1000,8.071
raramuri,500,8162,1000,8.162
raramuri,500,7800,1000,7.8
raramuri,500,8075,1000,8.075
raramuri,500,8026,1000,8.026
raramuri,500,7936,1000,7.936
raramuri,500,7864,1000,7.864
raramuri,500,7946,1000,7.946
raramuri,500,7998,1000,7.998
raramuri,500,8193,1000,8.193
raramuri,500,8028,1000,8.028
raramuri,1000,7847,1000,7.847
raramuri,1000,7707,1000,7.707
raramuri,1000,7943,1000,7.943
raramuri,1000,7792,1000,7.792
raramuri,1000,7867,1000,7.867
raramuri,1000,8001,1000,8.001
raramuri,1000,7821,1000,7.821
raramuri,1000,7837,1000,7.837
raramuri,1000,7679,1000,7.679
raramuri,1000,7745,1000,7.745
raramuri,1000,7726,1000,7.726
raramuri,1000,7835,1000,7.835
