language,bpe vocab limit,num tokens,num words,tokens : word
english,200,5010,1000,5.01
english,200,4836,1000,4.836
english,200,5233,1000,5.233
english,200,5125,1000,5.125
english,200,5055,1000,5.055
english,200,5451,1000,5.451
english,200,4968,1000,4.968
english,200,5079,1000,5.079
english,200,5227,1000,5.227
english,200,5032,1000,5.032
english,200,4878,1000,4.878
english,200,5012,1000,5.012
english,200,5086,1000,5.086
english,200,4956,1000,4.956
english,200,4947,1000,4.947
english,200,5244,1000,5.244
english,200,4889,1000,4.889
english,200,4995,1000,4.995
english,200,4864,1000,4.864
english,200,5073,1000,5.073
english,200,5130,1000,5.13
english,200,5069,1000,5.069
english,200,4998,1000,4.998
english,200,5074,1000,5.074
english,200,5352,1000,5.352
english,200,5053,1000,5.053
english,200,5013,1000,5.013
english,200,5133,1000,5.133
english,200,5035,1000,5.035
english,200,5015,1000,5.015
english,200,5033,1000,5.033
english,200,4865,1000,4.865
english,200,5177,1000,5.177
english,200,5123,1000,5.123
english,200,5091,1000,5.091
english,200,5242,1000,5.242
english,200,5145,1000,5.145
english,200,5002,1000,5.002
english,200,5193,1000,5.193
english,200,4972,1000,4.972
english,200,4977,1000,4.977
english,200,5124,1000,5.124
english,200,5116,1000,5.116
english,200,5329,1000,5.329
english,200,5261,1000,5.261
english,200,5215,1000,5.215
english,200,5561,1000,5.561
english,200,5383,1000,5.383
english,200,5719,1000,5.719
english,200,5535,1000,5.535
english,200,5268,1000,5.268
english,200,5121,1000,5.121
english,200,5026,1000,5.026
english,200,4939,1000,4.939
english,200,4868,1000,4.868
english,200,5435,1000,5.435
english,200,5379,1000,5.379
english,200,5251,1000,5.251
english,200,5200,1000,5.2
english,200,5268,1000,5.268
english,200,5098,1000,5.098
english,200,5065,1000,5.065
english,200,5099,1000,5.099
english,200,4972,1000,4.972
english,200,4996,1000,4.996
english,200,4821,1000,4.821
english,200,4939,1000,4.939
english,200,4938,1000,4.938
english,200,5045,1000,5.045
english,200,5144,1000,5.144
english,200,4789,1000,4.789
english,200,4831,1000,4.831
english,200,5105,1000,5.105
english,200,5084,1000,5.084
english,200,5026,1000,5.026
english,200,4964,1000,4.964
english,200,4937,1000,4.937
english,200,5178,1000,5.178
english,200,4947,1000,4.947
english,200,4986,1000,4.986
english,200,5001,1000,5.001
english,200,5174,1000,5.174
english,200,5104,1000,5.104
english,200,5160,1000,5.16
english,200,4916,1000,4.916
english,200,4955,1000,4.955
english,200,5058,1000,5.058
english,200,4972,1000,4.972
english,200,5058,1000,5.058
english,200,5139,1000,5.139
english,200,5354,1000,5.354
english,200,5123,1000,5.123
english,200,5070,1000,5.07
english,200,4967,1000,4.967
english,200,5012,1000,5.012
english,200,5038,1000,5.038
english,200,4976,1000,4.976
english,200,5278,1000,5.278
english,200,4895,1000,4.895
english,200,4909,1000,4.909
english,200,5161,1000,5.161
english,200,4984,1000,4.984
english,200,5336,1000,5.336
english,200,5307,1000,5.307
english,200,5203,1000,5.203
english,200,5152,1000,5.152
english,200,5248,1000,5.248
english,200,5138,1000,5.138
english,200,5118,1000,5.118
english,200,5075,1000,5.075
english,200,5151,1000,5.151
english,200,4889,1000,4.889
english,200,5016,1000,5.016
english,200,5007,1000,5.007
english,200,5293,1000,5.293
english,200,5156,1000,5.156
english,200,5216,1000,5.216
english,200,5356,1000,5.356
english,200,5182,1000,5.182
english,200,5218,1000,5.218
english,200,5019,1000,5.019
english,200,5096,1000,5.096
english,200,5056,1000,5.056
english,200,5097,1000,5.097
english,200,5038,1000,5.038
english,200,5083,1000,5.083
english,200,5009,1000,5.009
english,200,5070,1000,5.07
english,200,5137,1000,5.137
english,200,5168,1000,5.168
english,200,5104,1000,5.104
english,200,5149,1000,5.149
english,200,5020,1000,5.02
english,200,4963,1000,4.963
english,200,5057,1000,5.057
english,200,5112,1000,5.112
english,200,5013,1000,5.013
english,200,5104,1000,5.104
english,200,5165,1000,5.165
english,200,5067,1000,5.067
english,200,5246,1000,5.246
english,200,5112,1000,5.112
english,200,5015,1000,5.015
english,200,5192,1000,5.192
english,200,5018,1000,5.018
english,200,5073,1000,5.073
english,200,5237,1000,5.237
english,200,5216,1000,5.216
english,200,4978,1000,4.978
english,200,4901,1000,4.901
english,200,4932,1000,4.932
english,200,5222,1000,5.222
english,200,5176,1000,5.176
english,200,5168,1000,5.168
english,200,5099,1000,5.099
english,200,5047,1000,5.047
english,200,5035,1000,5.035
english,200,5175,1000,5.175
english,200,5030,1000,5.03
english,200,5337,1000,5.337
english,200,5212,1000,5.212
english,200,5034,1000,5.034
english,200,5091,1000,5.091
english,200,5074,1000,5.074
english,200,5114,1000,5.114
english,200,5061,1000,5.061
english,200,4955,1000,4.955
english,200,5214,1000,5.214
english,200,5064,1000,5.064
english,200,5259,1000,5.259
english,200,5191,1000,5.191
english,200,5323,1000,5.323
english,200,5279,1000,5.279
english,200,5090,1000,5.09
english,200,5088,1000,5.088
english,200,4954,1000,4.954
english,200,5061,1000,5.061
english,200,5066,1000,5.066
english,200,5196,1000,5.196
english,200,5120,1000,5.12
english,200,5039,1000,5.039
english,200,5055,1000,5.055
english,200,5078,1000,5.078
english,200,5027,1000,5.027
english,200,5051,1000,5.051
english,200,4948,1000,4.948
english,200,5065,1000,5.065
english,200,5006,1000,5.006
english,200,5091,1000,5.091
english,200,4995,1000,4.995
english,200,5186,1000,5.186
english,200,5095,1000,5.095
english,200,5027,1000,5.027
english,200,5149,1000,5.149
english,200,5141,1000,5.141
english,200,5103,1000,5.103
english,200,5180,1000,5.18
english,200,5138,1000,5.138
english,200,5125,1000,5.125
english,200,4982,1000,4.982
english,200,5037,1000,5.037
english,200,4938,1000,4.938
english,200,5015,1000,5.015
english,200,4894,1000,4.894
english,200,4879,1000,4.879
english,200,4868,1000,4.868
english,200,5095,1000,5.095
english,200,5081,1000,5.081
english,200,4992,1000,4.992
english,200,4855,1000,4.855
english,200,4767,1000,4.767
english,200,4723,1000,4.723
english,200,5059,1000,5.059
english,200,5107,1000,5.107
english,200,5180,1000,5.18
english,200,5051,1000,5.051
english,200,5320,1000,5.32
english,200,5113,1000,5.113
english,200,5153,1000,5.153
english,200,5270,1000,5.27
english,200,5428,1000,5.428
english,200,5140,1000,5.14
english,200,5262,1000,5.262
english,200,5148,1000,5.148
english,200,5228,1000,5.228
english,200,5165,1000,5.165
english,200,5314,1000,5.314
english,200,5289,1000,5.289
english,200,5435,1000,5.435
english,200,5444,1000,5.444
english,200,5320,1000,5.32
english,200,5325,1000,5.325
english,200,5370,1000,5.37
english,200,5433,1000,5.433
english,200,5068,1000,5.068
english,200,5248,1000,5.248
english,200,5170,1000,5.17
english,200,5256,1000,5.256
english,200,5311,1000,5.311
english,200,5135,1000,5.135
english,200,5178,1000,5.178
english,200,5243,1000,5.243
english,200,5341,1000,5.341
english,200,5381,1000,5.381
english,200,5278,1000,5.278
english,200,5219,1000,5.219
english,200,4928,1000,4.928
english,200,5126,1000,5.126
english,200,5159,1000,5.159
english,200,5125,1000,5.125
english,200,5378,1000,5.378
english,200,5229,1000,5.229
english,200,5240,1000,5.24
english,200,5207,1000,5.207
english,200,5113,1000,5.113
english,200,5064,1000,5.064
english,200,5090,1000,5.09
english,200,4915,1000,4.915
english,200,4991,1000,4.991
english,200,5018,1000,5.018
english,200,5229,1000,5.229
english,200,5078,1000,5.078
english,200,4987,1000,4.987
english,200,5123,1000,5.123
english,200,4981,1000,4.981
english,200,5084,1000,5.084
english,200,5211,1000,5.211
english,200,5245,1000,5.245
english,200,5191,1000,5.191
english,200,4957,1000,4.957
english,200,4938,1000,4.938
english,200,5150,1000,5.15
english,200,5081,1000,5.081
english,200,5397,1000,5.397
english,200,5212,1000,5.212
english,200,5249,1000,5.249
english,200,5228,1000,5.228
english,200,5192,1000,5.192
english,200,5068,1000,5.068
english,200,5018,1000,5.018
english,200,5205,1000,5.205
english,200,5403,1000,5.403
english,200,5308,1000,5.308
english,200,4976,1000,4.976
english,200,5204,1000,5.204
english,200,5132,1000,5.132
english,200,5383,1000,5.383
english,200,5401,1000,5.401
english,200,5375,1000,5.375
english,200,5302,1000,5.302
english,200,5365,1000,5.365
english,200,5393,1000,5.393
english,200,5004,1000,5.004
english,200,5202,1000,5.202
english,200,5332,1000,5.332
english,200,5278,1000,5.278
english,200,5297,1000,5.297
english,200,5290,1000,5.29
english,200,5377,1000,5.377
english,200,5317,1000,5.317
english,200,5198,1000,5.198
english,200,5138,1000,5.138
english,200,5252,1000,5.252
english,200,5355,1000,5.355
english,200,5328,1000,5.328
english,200,5266,1000,5.266
english,200,5460,1000,5.46
english,200,4974,1000,4.974
english,200,5007,1000,5.007
english,200,5045,1000,5.045
english,200,5023,1000,5.023
english,200,5236,1000,5.236
english,200,4963,1000,4.963
english,200,4855,1000,4.855
english,200,5007,1000,5.007
english,200,5048,1000,5.048
english,200,5009,1000,5.009
english,200,5057,1000,5.057
english,200,5085,1000,5.085
english,200,5045,1000,5.045
english,200,5176,1000,5.176
english,200,5121,1000,5.121
english,200,5024,1000,5.024
english,500,5010,1000,5.01
english,500,4836,1000,4.836
english,500,5233,1000,5.233
english,500,5125,1000,5.125
english,500,5055,1000,5.055
english,500,5451,1000,5.451
english,500,4968,1000,4.968
english,500,5079,1000,5.079
english,500,5227,1000,5.227
english,500,5032,1000,5.032
english,500,4878,1000,4.878
english,500,5012,1000,5.012
english,500,5086,1000,5.086
english,500,4956,1000,4.956
english,500,4947,1000,4.947
english,500,5244,1000,5.244
english,500,4889,1000,4.889
english,500,4995,1000,4.995
english,500,4864,1000,4.864
english,500,5073,1000,5.073
english,500,5130,1000,5.13
english,500,5069,1000,5.069
english,500,4998,1000,4.998
english,500,5074,1000,5.074
english,500,5352,1000,5.352
english,500,5053,1000,5.053
english,500,5013,1000,5.013
english,500,5133,1000,5.133
english,500,5035,1000,5.035
english,500,5015,1000,5.015
english,500,5033,1000,5.033
english,500,4865,1000,4.865
english,500,5177,1000,5.177
english,500,5123,1000,5.123
english,500,5091,1000,5.091
english,500,5242,1000,5.242
english,500,5145,1000,5.145
english,500,5002,1000,5.002
english,500,5193,1000,5.193
english,500,4972,1000,4.972
english,500,4977,1000,4.977
english,500,5124,1000,5.124
english,500,5116,1000,5.116
english,500,5329,1000,5.329
english,500,5261,1000,5.261
english,500,5215,1000,5.215
english,500,5561,1000,5.561
english,500,5383,1000,5.383
english,500,5719,1000,5.719
english,500,5535,1000,5.535
english,500,5268,1000,5.268
english,500,5121,1000,5.121
english,500,5026,1000,5.026
english,500,4939,1000,4.939
english,500,4868,1000,4.868
english,500,5435,1000,5.435
english,500,5379,1000,5.379
english,500,5251,1000,5.251
english,500,5200,1000,5.2
